City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
colares,20.0,3600.0,1620053203.0,55.0,38.7992,-9.4469,73.0,10.36
barrow,90.0,-28800.0,1620053203.0,86.0,71.2906,-156.7887,15.8,3.27
avarua,90.0,-36000.0,1620053204.0,73.0,-21.2078,-159.775,75.2,8.05
hasaki,20.0,32400.0,1620053204.0,38.0,35.7333,140.8333,59.0,10.36
kunming,0.0,28800.0,1620053204.0,52.0,25.0389,102.7183,66.2,13.42
lebu,97.0,-14400.0,1620053205.0,77.0,-37.6167,-73.65,54.41,8.43
cape town,75.0,7200.0,1620052986.0,29.0,-33.9258,18.4232,78.8,14.97
lagoa,100.0,0.0,1620053206.0,78.0,39.05,-27.9833,62.83,9.8
camacha,40.0,3600.0,1620053206.0,56.0,33.0833,-16.3333,68.0,11.5
hilo,1.0,-36000.0,1620053206.0,78.0,19.7297,-155.09,71.6,5.75
hengshui,51.0,28800.0,1620053207.0,79.0,37.7322,115.7011,56.79,7.47
ushuaia,75.0,-10800.0,1620053149.0,87.0,-54.8,-68.3,35.6,26.46
tuatapere,88.0,43200.0,1620053208.0,72.0,-46.1333,167.6833,53.01,10.0
hermanus,83.0,7200.0,1620053208.0,38.0,-34.4187,19.2345,80.01,2.01
geraldton,100.0,28800.0,1620053209.0,82.0,-28.7667,114.6,64.4,6.91
bonavista,100.0,-9000.0,1620053209.0,62.0,48.6499,-53.1147,50.0,8.05
koboko,95.0,10800.0,1620053210.0,87.0,3.4136,30.9599,66.2,1.79
namwala,100.0,7200.0,1620053210.0,65.0,-15.7504,26.4384,67.44,5.39
yellowknife,20.0,-21600.0,1620052998.0,45.0,62.456,-114.3525,21.99,5.75
khatanga,100.0,25200.0,1620053211.0,85.0,71.9667,102.5,25.77,13.04
rio grande,20.0,-10800.0,1620052948.0,65.0,-32.035,-52.0986,77.0,3.44
katsuura,40.0,32400.0,1620053211.0,72.0,35.1333,140.3,62.01,4.61
kodiak,90.0,-28800.0,1620053212.0,87.0,57.79,-152.4072,39.2,8.05
saskylakh,100.0,32400.0,1620053212.0,95.0,71.9167,114.0833,27.55,7.0
tuktoyaktuk,75.0,-21600.0,1620053213.0,85.0,69.4541,-133.0374,10.4,5.26
lindi,6.0,10800.0,1620053213.0,91.0,-10.0,39.7167,75.47,5.48
manicore,75.0,-14400.0,1620053214.0,79.0,-5.8092,-61.3003,84.2,2.3
fairbanks,1.0,-28800.0,1620053133.0,48.0,64.8378,-147.7164,41.0,4.7
