,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
0,marcona,,,,,,,,
1,busselton,,,,,,,,
2,rikitea,,,,,,,,
3,lithakia,,,,,,,,
4,hilo,,,,,,,,
5,zhezkazgan,,,,,,,,
6,new norfolk,,,,,,,,
7,ushuaia,,,,,,,,
8,saint george,,,,,,,,
9,yellowknife,,,,,,,,
10,slave lake,,,,,,,,
11,ziro,,,,,,,,
12,hegang,,,,,,,,
13,thompson,,,,,,,,
14,flin flon,,,,,,,,
15,broome,,,,,,,,
16,mataura,,,,,,,,
17,hovd,,,,,,,,
18,avarua,,,,,,,,
19,zyryanka,,,,,,,,
20,havre-saint-pierre,,,,,,,,
21,bluff,,,,,,,,
22,san quintin,,,,,,,,
23,raudeberg,,,,,,,,
24,taolanaro,,,,,,,,
25,punta arenas,,,,,,,,
26,amderma,,,,,,,,
27,bolnisi,,,,,,,,
28,synya,,,,,,,,
29,guatire,,,,,,,,
30,illoqqortoormiut,,,,,,,,
31,hermanus,,,,,,,,
32,belushya guba,,,,,,,,
33,riverton,,,,,,,,
34,gunjur,,,,,,,,
35,tasiilaq,,,,,,,,
36,vaini,,,,,,,,
37,duverge,,,,,,,,
38,kourou,,,,,,,,
39,norman wells,,,,,,,,
40,tuktoyaktuk,,,,,,,,
41,cherskiy,,,,,,,,
42,tuatapere,,,,,,,,
43,aripuana,,,,,,,,
44,albany,,,,,,,,
45,port hedland,,,,,,,,
46,canton,,,,,,,,
47,sentyabrskiy,,,,,,,,
48,ponta do sol,,,,,,,,
49,dikson,,,,,,,,
50,bredasdorp,,,,,,,,
51,jaisalmer,,,,,,,,
52,upernavik,,,,,,,,
53,airai,,,,,,,,
54,surgut,,,,,,,,
55,havoysund,,,,,,,,
56,south lake tahoe,,,,,,,,
57,reconquista,,,,,,,,
58,plover,,,,,,,,
59,san patricio,,,,,,,,
60,qaanaaq,,,,,,,,
61,saskylakh,,,,,,,,
62,jamestown,,,,,,,,
63,bur gabo,,,,,,,,
64,mahebourg,,,,,,,,
65,talnakh,,,,,,,,
66,ancud,,,,,,,,
67,balkanabat,,,,,,,,
