,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
0,dikson,92,,1620042006,87,73.5069,80.5464,31.95,14.07
1,rikitea,75,,1620042067,81,-23.1203,-134.9692,78.1,7.61
2,ushuaia,75,,1620042067,86,-54.8,-68.3,33.8,23.02
3,belushya guba,,,,,,,,
4,busselton,78,,1620042067,83,-33.65,115.3333,60.01,1.01
5,illoqqortoormiut,,,,,,,,
6,barentsburg,,,,,,,,
7,hilo,40,,1620042068,83,19.7297,-155.09,71.6,4.61
8,iqaluit,75,,1620042027,69,63.7506,-68.5145,32,5.75
9,srednekolymsk,43,,1620042068,91,67.45,153.6833,16.83,3.29
10,ales,52,,1620042069,41,44.1333,4.0833,68,5.01
11,trelew,29,,1620042020,47,-43.249,-65.3051,51.67,23.82
12,kota bahru,20,,1620042069,94,6.1333,102.2386,82.4,6.78
13,avera,,,,,,,,
14,mount gambier,40,,1620042069,87,-37.8333,140.7667,46.4,9.22
15,tumannyy,,,,,,,,
16,vaini,90,,1620042070,78,-21.2,-175.2,73.4,10.36
17,pangody,25,,1620042070,84,65.85,74.4859,33.21,11.41
18,mataura,,,,,,,,
19,tura,84,,1620042071,54,25.5198,90.2201,81.84,2.26
20,luancheng,20,,1620042071,60,37.8792,114.6517,68,2.24
21,dunedin,0,,1620042071,94,-45.8742,170.5036,50,6.15
22,victoria,92,,1620042072,90,22.2855,114.1577,77,18.14
23,lasa,0,,1620042072,32,46.6166,10.7002,66.2,4.61
24,asosa,85,,1620042072,38,10.0667,34.5333,79.38,7.54
25,sambava,17,,1620042073,71,-14.2667,50.1667,82.76,8.57
26,norman wells,20,,1620042073,80,65.282,-126.8329,30.2,5.75
27,taolanaro,,,,,,,,
28,albany,100,,1620042073,88,42.6001,-73.9662,52,1.41
29,hobart,75,,1620042074,71,-42.8794,147.3294,50,8.05
30,tsihombe,,,,,,,,
31,qaanaaq,97,,1620042074,74,77.484,-69.3632,25.56,4.63
32,mys shmidta,,,,,,,,
33,lazo,49,,1620042075,63,43.3817,133.9014,45.7,4.54
34,mehamn,20,,1620042075,60,71.0357,27.8492,33.8,4.61
